ts,device,seq,temp_val,temp_scale,hum_val,hum_scale,press_val,press_scale,rssi,environment
2026-03-06 16:34:25.956,RIOT-BLE-1,5676,,,,,,,-80,bridge
2026-03-06 16:34:26.006,RIOT-BLE-1,5677,,,,,,,-75,bridge
2026-03-06 16:34:26.106,RIOT-BLE-1,5678,,,,,,,-70,bridge
2026-03-06 16:34:26.156,RIOT-BLE-1,5679,,,,,,,-76,bridge
2026-03-06 16:34:26.306,RIOT-BLE-1,5680,,,,,,,-77,bridge
2026-03-06 16:34:26.356,RIOT-BLE-1,5681,,,,,,,-74,bridge
2026-03-06 16:34:26.456,RIOT-BLE-1,5682,,,,,,,-72,bridge
2026-03-06 16:34:26.558,RIOT-BLE-1,5683,,,,,,,-70,bridge
2026-03-06 16:34:26.806,RIOT-BLE-1,5684,,,,,,,-69,bridge
2026-03-06 16:34:26.809,RIOT-BLE-1,5685,,,,,,,-70,bridge
2026-03-06 16:34:26.856,RIOT-BLE-1,5686,,,,,,,-76,bridge
2026-03-06 16:34:27.006,RIOT-BLE-1,5687,,,,,,,-70,bridge
2026-03-06 16:34:27.056,RIOT-BLE-1,5688,,,,,,,-71,bridge
2026-03-06 16:34:27.162,RIOT-BLE-1,5689,,,,,,,-75,bridge
2026-03-06 16:34:27.257,RIOT-BLE-1,5690,,,,,,,-75,bridge
2026-03-06 16:34:27.456,RIOT-BLE-1,5691,,,,,,,-72,bridge
2026-03-06 16:34:27.459,RIOT-BLE-1,5692,,,,,,,-72,bridge
2026-03-06 16:34:27.606,RIOT-BLE-1,5693,,,,,,,-72,bridge
2026-03-06 16:34:27.659,RIOT-BLE-1,5694,,,,,,,-70,bridge
2026-03-06 16:34:27.807,RIOT-BLE-1,5695,,,,,,,-69,bridge
2026-03-06 16:34:28.056,RIOT-BLE-1,5696,,,,,,,-74,bridge
2026-03-06 16:34:28.059,RIOT-BLE-1,5697,,,,,,,-75,bridge
2026-03-06 16:34:28.157,RIOT-BLE-1,5699,,,,,,,-77,bridge
2026-03-06 16:34:28.257,RIOT-BLE-1,5700,,,,,,,-80,bridge
2026-03-06 16:34:28.357,RIOT-BLE-1,5701,,,,,,,-69,bridge
2026-03-06 16:34:28.457,RIOT-BLE-1,5702,,,,,,,-70,bridge
2026-03-06 16:34:28.556,RIOT-BLE-1,5703,,,,,,,-70,bridge
2026-03-06 16:34:28.707,RIOT-BLE-1,5704,,,,,,,-71,bridge
2026-03-06 16:34:28.756,RIOT-BLE-1,5705,,,,,,,-73,bridge
2026-03-06 16:34:28.857,RIOT-BLE-1,5706,,,,,,,-74,bridge
2026-03-06 16:34:29.056,RIOT-BLE-1,5707,,,,,,,-73,bridge
2026-03-06 16:34:29.059,RIOT-BLE-1,5708,,,,,,,-73,bridge
2026-03-06 16:34:29.207,RIOT-BLE-1,5709,,,,,,,-70,bridge
2026-03-06 16:34:29.257,RIOT-BLE-1,5710,,,,,,,-74,bridge
2026-03-06 16:34:29.357,RIOT-BLE-1,5711,,,,,,,-70,bridge
2026-03-06 16:34:29.457,RIOT-BLE-1,5712,,,,,,,-71,bridge
2026-03-06 16:34:29.607,RIOT-BLE-1,5713,,,,,,,-70,bridge
2026-03-06 16:34:29.657,RIOT-BLE-1,5714,,,,,,,-69,bridge
2026-03-06 16:34:29.957,RIOT-BLE-1,5715,,,,,,,-71,bridge
2026-03-06 16:34:29.959,RIOT-BLE-1,5716,,,,,,,-71,bridge
2026-03-06 16:34:30.107,RIOT-BLE-1,5718,,,,,,,-70,bridge
2026-03-06 16:34:30.207,RIOT-BLE-1,5719,,,,,,,-71,bridge
2026-03-06 16:34:30.308,RIOT-BLE-1,5720,,,,,,,-73,bridge
2026-03-06 16:34:30.457,RIOT-BLE-1,5721,,,,,,,-77,bridge
2026-03-06 16:34:30.507,RIOT-BLE-1,5722,,,,,,,-69,bridge
2026-03-06 16:34:30.657,RIOT-BLE-1,5723,,,,,,,-71,bridge
2026-03-06 16:34:30.707,RIOT-BLE-1,5724,,,,,,,-78,bridge
2026-03-06 16:34:30.857,RIOT-BLE-1,5725,,,,,,,-77,bridge
2026-03-06 16:34:30.907,RIOT-BLE-1,5726,,,,,,,-76,bridge
2026-03-06 16:34:31.007,RIOT-BLE-1,5727,,,,,,,-77,bridge
2026-03-06 16:34:31.207,RIOT-BLE-1,5728,,,,,,,-82,bridge
2026-03-06 16:34:31.260,RIOT-BLE-1,5729,,,,,,,-79,bridge
2026-03-06 16:34:31.462,RIOT-BLE-1,5730,,,,,,,-78,bridge
2026-03-06 16:34:31.464,RIOT-BLE-1,5731,,,,,,,-78,bridge
2026-03-06 16:34:31.507,RIOT-BLE-1,5732,,,,,,,-80,bridge
2026-03-06 16:34:31.607,RIOT-BLE-1,5733,,,,,,,-70,bridge
2026-03-06 16:34:31.708,RIOT-BLE-1,5734,,,,,,,-75,bridge
2026-03-06 16:34:31.807,RIOT-BLE-1,5735,,,,,,,-69,bridge
2026-03-06 16:34:31.907,RIOT-BLE-1,5736,,,,,,,-73,bridge
2026-03-06 16:34:32.158,RIOT-BLE-1,5737,,,,,,,-76,bridge
2026-03-06 16:34:32.160,RIOT-BLE-1,5738,,,,,,,-76,bridge
2026-03-06 16:34:32.257,RIOT-BLE-1,5739,,,,,,,-70,bridge
2026-03-06 16:34:32.307,RIOT-BLE-1,5740,,,,,,,-78,bridge
2026-03-06 16:34:32.557,RIOT-BLE-1,5741,,,,,,,-70,bridge
2026-03-06 16:34:32.560,RIOT-BLE-1,5742,,,,,,,-70,bridge
2026-03-06 16:34:32.607,RIOT-BLE-1,5743,,,,,,,-79,bridge
2026-03-06 16:34:32.707,RIOT-BLE-1,5744,,,,,,,-80,bridge
2026-03-06 16:34:32.957,RIOT-BLE-1,5745,,,,,,,-73,bridge
2026-03-06 16:34:32.960,RIOT-BLE-1,5746,,,,,,,-73,bridge
2026-03-06 16:34:33.011,RIOT-BLE-1,5747,,,,,,,-74,bridge
2026-03-06 16:34:33.158,RIOT-BLE-1,5748,,,,,,,-75,bridge
2026-03-06 16:34:33.207,RIOT-BLE-1,5749,,,,,,,-69,bridge
2026-03-06 16:34:33.307,RIOT-BLE-1,5750,,,,,,,-82,bridge
2026-03-06 16:34:33.457,RIOT-BLE-1,5751,,,,,,,-75,bridge
2026-03-06 16:34:33.507,RIOT-BLE-1,5752,,,,,,,-69,bridge
2026-03-06 16:34:33.657,RIOT-BLE-1,5753,,,,,,,-75,bridge
2026-03-06 16:34:33.713,RIOT-BLE-1,5754,,,,,,,-75,bridge
2026-03-06 16:34:33.907,RIOT-BLE-1,5755,,,,,,,-69,bridge
2026-03-06 16:34:33.910,RIOT-BLE-1,5756,,,,,,,-68,bridge
2026-03-06 16:34:34.008,RIOT-BLE-1,5757,,,,,,,-73,bridge
2026-03-06 16:34:34.107,RIOT-BLE-1,5758,,,,,,,-73,bridge
2026-03-06 16:34:34.259,RIOT-BLE-1,5759,,,,,,,-77,bridge
2026-03-06 16:34:34.357,RIOT-BLE-1,5760,,,,,,,-79,bridge
2026-03-06 16:34:34.408,RIOT-BLE-1,5761,,,,,,,-75,bridge
2026-03-06 16:34:34.607,RIOT-BLE-1,5762,,,,,,,-70,bridge
2026-03-06 16:34:34.610,RIOT-BLE-1,5763,,,,,,,-70,bridge
2026-03-06 16:34:34.708,RIOT-BLE-1,5764,,,,,,,-69,bridge
2026-03-06 16:34:34.808,RIOT-BLE-1,5765,,,,,,,-72,bridge
2026-03-06 16:34:34.908,RIOT-BLE-1,5766,,,,,,,-78,bridge
2026-03-06 16:34:35.008,RIOT-BLE-1,5767,,,,,,,-79,bridge
2026-03-06 16:34:35.158,RIOT-BLE-1,5768,,,,,,,-70,bridge
2026-03-06 16:34:35.308,RIOT-BLE-1,5769,,,,,,,-77,bridge
2026-03-06 16:34:35.310,RIOT-BLE-1,5770,,,,,,,-77,bridge
2026-03-06 16:34:35.408,RIOT-BLE-1,5771,,,,,,,-71,bridge
2026-03-06 16:34:35.658,RIOT-BLE-1,5772,,,,,,,-80,bridge
2026-03-06 16:34:35.708,RIOT-BLE-1,5773,,,,,,,-74,bridge
2026-03-06 16:34:35.710,RIOT-BLE-1,5774,,,,,,,-75,bridge
2026-03-06 16:34:35.808,RIOT-BLE-1,5775,,,,,,,-69,bridge
2026-03-06 16:34:35.912,RIOT-BLE-1,5776,,,,,,,-71,bridge
2026-03-06 16:34:36.013,RIOT-BLE-1,5777,,,,,,,-82,bridge
2026-03-06 16:34:36.108,RIOT-BLE-1,5778,,,,,,,-76,bridge
2026-03-06 16:34:36.308,RIOT-BLE-1,5779,,,,,,,-71,bridge
2026-03-06 16:34:36.310,RIOT-BLE-1,5780,,,,,,,-72,bridge
2026-03-06 16:34:36.408,RIOT-BLE-1,5781,,,,,,,-72,bridge
2026-03-06 16:34:36.708,RIOT-BLE-1,5782,,,,,,,-76,bridge
2026-03-06 16:34:36.710,RIOT-BLE-1,5783,,,,,,,-75,bridge
2026-03-06 16:34:36.910,RIOT-BLE-1,5785,,,,,,,-72,bridge
2026-03-06 16:34:36.913,RIOT-BLE-1,5786,,,,,,,-72,bridge
2026-03-06 16:34:37.013,RIOT-BLE-1,5787,,,,,,,-81,bridge
2026-03-06 16:34:37.108,RIOT-BLE-1,5788,,,,,,,-74,bridge
2026-03-06 16:34:37.208,RIOT-BLE-1,5789,,,,,,,-78,bridge
2026-03-06 16:34:37.408,RIOT-BLE-1,5790,,,,,,,-75,bridge
2026-03-06 16:34:37.411,RIOT-BLE-1,5791,,,,,,,-75,bridge
2026-03-06 16:34:37.508,RIOT-BLE-1,5792,,,,,,,-78,bridge
2026-03-06 16:34:37.608,RIOT-BLE-1,5793,,,,,,,-77,bridge
2026-03-06 16:34:37.708,RIOT-BLE-1,5794,,,,,,,-80,bridge
2026-03-06 16:34:37.808,RIOT-BLE-1,5795,,,,,,,-75,bridge
